0 0 0 1.04459
0 1 0 0.8647
0 2 0 1.06979
0 3 0 0.847285
0 4 0 0.875131
0 5 0 1.00081
0 6 0 1.04182
0 7 0 0.938702
0 8 0 0.892377
0 9 0 0.731165
0 10 0 0.903626
0 11 0 0.965968
0 12 0 1.13537
0 13 0 1.06267
0 14 0 0.995664
0 15 0 1.01463
0 16 0 1.15394
0 17 0 0.935654
0 18 0 1.21929
0 19 0 1.08829
0 20 0 1.10855
0 21 0 1.13709
0 22 0 1.03413
0 23 0 0.894003
0 24 0 0.817663
0 25 0 1.264
0 26 0 1.07063
0 27 0 0.973068
0 28 0 0.800658
0 29 0 0.976523
0 30 0 1.00221
0 31 0 1.29175
0 32 0 0.858432
0 33 0 0.967195
0 34 0 0.645915
0 35 0 1.04187
0 36 0 0.910807
0 37 0 0.758236
0 38 0 1.10604
0 39 0 0.981449
0 40 0 1.11651
0 41 0 0.980068
0 42 0 1.13389
0 43 0 1.06369
0 44 0 1.08697
0 45 0 1.26555
0 46 0 0.951271
0 47 0 0.977838
0 48 0 0.860474
0 49 0 0.818544
0 50 0 1.3086
0 51 0 0.783123
0 52 0 0.881006
0 53 0 1.02256
0 54 0 0.889408
0 55 0 1.15191
0 56 0 0.99851
0 57 0 0.858336
0 58 0 0.966201
0 59 0 0.868957
0 60 0 1.03497
0 61 0 1.14403
0 62 0 0.71163
0 63 0 0.927728
0 64 0 0.935052
0 65 0 0.979555
0 66 0 1.1003
0 67 0 1.20096
0 68 0 1.0662
0 69 0 1.03966
0 70 0 0.930235
0 71 0 0.841817
0 72 0 1.17735
0 73 0 0.777358
0 74 0 1.15778
0 75 0 1.04617
0 76 0 0.859925
0 77 0 1.12141
0 78 0 1.20611
0 79 0 0.96081
0 80 0 1.03
0 81 0 0.958907
0 82 0 0.868544
0 83 0 0.797111
0 84 0 1.13492
0 85 0 0.838644
0 86 0 0.993118
0 87 0 1.19293
0 88 0 0.914556
0 89 0 1.15069
0 90 0 1.13219
0 91 0 0.896039
0 92 0 0.802414
0 93 0 0.979145
0 94 0 1.09026
0 95 0 1.41825
0 96 0 1.06608
0 97 0 0.813438
0 98 0 1.06205
0 99 0 0.952603
0 0 1 0.933464
